isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Kenya | ACCESSION_EU312128,Kenya,ACCESSION_EU312128,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312139,Kenya,ACCESSION_EU312139,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312140,Kenya,ACCESSION_EU312140,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312141,Kenya,ACCESSION_EU312141,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312142,Kenya,ACCESSION_EU312142,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312143,Kenya,ACCESSION_EU312143,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312144,Kenya,ACCESSION_EU312144,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312145,Kenya,ACCESSION_EU312145,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312146,Kenya,ACCESSION_EU312146,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312147,Kenya,ACCESSION_EU312147,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574004,Kenya,ACCESSION_EU574004,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574005,Kenya,ACCESSION_EU574005,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
